name,band
"Ekornes, Kenneth",Ab und Zu
Eldbjørg Raknes,Kvitretten
Eldbjørg Raknes,TINGeLING
Ellen Andrea Wang,Pixel
"Ellingsen, Torstein",The Real Thing
Emilie Stoesen Christensen,Batagraf
"Endresen, Sidsel",Trondheim Jazz Orchestra
"Endsley, Shane",Kneebody
Erik Balke,1300
Erik Balke,Extended Noise
Erik Balke,Jazzpunkensemblet
Erik Johannessen,Magic Pocket
Erik Johannessen,Trondheim Jazz Orchestra
Erik Johannessen,Jaga Jazzist
Erik Nylander,Magic Pocket
Erland Dahlen,Batagraf
Erlend Skomsvoll,Trondheim Jazz Orchestra
Erlend Skomsvoll,Come Shine
Erlend Slettevoll,The Core
Ernst-Wiggo Sandbakk,Oofotr
Espen Aalberg,The Core
Ethan Iverson,The Bad Plus
"Evans, Jack",Reverend Zen
Even Helte Hermansen,Bushman's Revenge
Even Kruse Skatrud,Funky Butt
Even Ormestad,Jaga Jazzist
Eyolf Dale,Albatrosh
"Fakir, Abdul",The Four Tops
"Fakir, Abdul",Four Tops
"Fame, Georgie",Bill Wyman's Rhythm Kings
"Farah, Ardeshir",Strunz & Farah
Fareed Haque,Garaj Mahal
Fareed Haque,The Dixon-Rhyne Project
"Felder, Wilton",The Jazz Crusaders / The Crusaders
"Fields, Brandon",Chris Walden Big Band
Finn Guttormsen,Farmers Market
Fito Cabrales,Fito & Fitipaldis
"Flaten, Ingebrigt Haker",Atomic
"Flaten, Ingebrigt Haker",The Thing
"Fliflet, Gabriel",Fliflet/Hamre
"Flippo, Dave",Flippomusic
"Folkvord, Svein",Storytellers
"Forbes, China",Pink Martini
"France, Martin",Human Chain
"Francis \""Rocco\"" Prestia",Tower of Power
Frank Jakobsen,Bergen Big Band
Frank Simms,The Simms Brothers Band
Fredrik Ljungkvist,Atomic
Fredrik Lundin,Magnetic North Orchestra
"Freedman, Tim",The Whitlams
Frode Alnæs,Masqualero
Frode Nymo,Urban Connection
Frode Nymo,Trondheim Jazz Orchestra
Frøy Aagre,Trondheim Jazz Orchestra
"Fuentes, Val",It's a Beautiful Day
"Fuller, Tia",Kit McClure Band
Gabriel Fliflet,Fliflet/Hamre
"Gald, David",Funky Butt
Gard Nilssen,Puma
Gard Nilssen,Bushman's Revenge
Gard Nilssen,Bushman's Revenge
Gary Crosby,Gary Crosby's Nu Troop
Gary U.S. Bonds,Bill Wyman's Rhythm Kings
Geir Lysne,Oslo Groove Company
George Bohanon,Clayton-Hamilton Jazz Orchestra
Georgie Fame,Bill Wyman's Rhythm Kings
Geraint Watkins,Bill Wyman's Rhythm Kings
Gerald Clayton,The Clayton Brothers
"Gismervik, Jan Martin",Monkey Plot
"Giørtz, Anne Marie",Ab und Zu
"Giørtz, Ole Henrik",Ab und Zu
"Gjære, Siri",Trondheim Jazz Orchestra
"Gjære, Siri",Trondheim Voices
"Gjørvad, Sverre",Dingobats
"Gjørvad, Sverre",Storytellers
"Gladnikoff, Jonas",Technicoloured Roses
"Gottschalck, Camilla",Technicoloured Roses
Graham Broad,Bill Wyman's Rhythm Kings
Greg Kurstin,Geggy Tah
Grégoire Maret,Pat Metheny Group
"Gustafsson, Mats",The Thing
"Guttormsen, Finn",Farmers Market
"Haas, Brian",Jacob Fred Jazz Odyssey
"Hall, Daryl",Hall & Oates
"Halle, Morten",1300
"Halle, Morten",Magnetic North Orchestra
"Halle, Morten",Jazzpunkensemblet
"Hamilton, Jeff",Clayton-Hamilton Jazz Orchestra
"Hamre, Ole",Fliflet/Hamre
"Hana, Anders",Ultralyd
"Haque, Fareed",Garaj Mahal
"Haque, Fareed",The Dixon-Rhyne Project
Harald Lassen,Mopti
Harald Lassen,Pixel
Harold Ray Brown,Lee Oskar
Harold Ray Brown,"Oskar, Lee"
"Hart, Robert",Manfred Mann's Earth Band
"Harvey Mason, Jr.",The Underdogs
"Hauge, Svein Dag",Lava
"Haugerud, Tor",BOL
"Haugerud, Tor",Trondheim Jazz Orchestra
"Hausken, Paal",Music for a While
"Hausken, Paal",In the Country
Hayden Powell,Magic Pocket
Hayden Powell,Trondheim Jazz Orchestra
"Heath, Percy",Modern Jazz Quartet
"Hedlund, Andreas",Waterclime
Hedvig Mollestad,Trondheim Jazz Orchestra
Hedvig Mollestad Thomassen,Trondheim Jazz Orchestra
"Hegdal, Eirik",Dingobats
"Hegdal, Eirik",Trondheim Jazz Orchestra
Heidi Skjerve,Trondheim Jazz Orchestra
Heidi Skjerve,Trondheim Voices
Helge Andreas Norbakken,Magnetic North Orchestra
Helge Andreas Norbakken,Batagraf
Helge Andreas Norbakken,Trondheim Jazz Orchestra
Helge Norbakken,Magnetic North Orchestra
Helge Norbakken,Batagraf
Helge Norbakken,Trondheim Jazz Orchestra
